name   1   2   3   4
1   6 9.42478 9.15527 6.82843
2   7 9.42478 9.71063 7.41421
3   7 9.42478 9.15527 6.82843
4   7 9.42478 9.71063 7.41421
5   6 9.42478 9.15527 6.82843
6   7 9.42478 9.15527 6.82843
7   5 9.42478 8.59991 6.24264
8   6 9.42478 9.15527 6.82843
9   7 9.42478 9.15527 6.82843
10  5 9.42478 8.59991 6.24264
11  6 9.42478 9.15527 6.82843
12  5 9.42478 9.15527 6.82843
13  7 10.9956 10.496 8.24264
14  6 9.42478 9.15527 6.82843
15  6 9.42478 9.15527 6.82843
16  5 7.85398 7.81451 5.41421
17  7 10.9956 10.496 8.24264
18  6 9.42478 9.15527 6.82843
19  6 9.42478 9.15527 6.82843
20  5 7.85398 7.81451 5.41421
21  6 9.42478 9.15527 6.82843
22  6 9.42478 9.15527 6.82843
23  5 7.85398 7.81451 5.41421
24  5 9.42478 9.15527 6.82843
25  6 9.42478 9.15527 6.82843
26  7 9.42478 9.71063 7.41421
27  6 9.42478 9.15527 6.82843
28  7 9.42478 9.15527 6.82843
29  7 9.42478 9.71063 7.41421
30  5 9.42478 8.59991 6.24264
31  7 9.42478 9.71063 7.41421
32  8 9.42478 10.266 8
33  6 7.85398 8.36987 6
34  6 9.42478 9.15527 6.82843
35  8 10.9956 10.496 8.24264
36  5 7.85398 7.81451 5.41421
37  6 9.42478 9.15527 6.82843
38  7 9.42478 9.15527 6.82843
39  5 7.85398 7.81451 5.41421
40  6 9.42478 9.15527 6.82843
41  7 9.42478 9.71063 7.41421
42  5 9.42478 9.15527 6.82843
43  6 9.42478 9.15527 6.82843
44  6 9.42478 9.71063 7.41421
45  7 9.42478 9.15527 6.82843
46  5 9.42478 8.59991 6.24264
47  6 10.9956 9.94067 7.65685
48  7 10.9956 9.94067 7.65685
49  6 9.42478 9.15527 6.82843
50  6 9.42478 9.15527 6.82843
51  6 7.85398 8.36987 6
52  7 9.42478 9.15527 6.82843
53  6 9.42478 9.71063 7.41421
54  6 9.42478 9.15527 6.82843
55  6 9.42478 9.15527 6.82843
56  6 9.42478 9.15527 6.82843
57  6 7.85398 8.36987 6
58  5 9.42478 9.15527 6.82843
59  7 9.42478 9.71063 7.41421
60  6 10.9956 9.94067 7.65685
61  5 7.85398 7.81451 5.41421
62  6 7.85398 8.36987 6
63  7 9.42478 9.15527 6.82843
64  5 7.85398 7.81451 5.41421
65  5 7.85398 7.81451 5.41421
66  7 9.42478 9.15527 6.82843
67  6 10.9956 9.94067 7.65685
68  6 9.42478 9.15527 6.82843
69  7 9.42478 9.15527 6.82843
70  5 7.85398 7.81451 5.41421
71  6 9.42478 9.15527 6.82843
72  7 9.42478 9.71063 7.41421
73  6 9.42478 9.71063 7.41421
74  5 9.42478 8.59991 6.24264
75  6 9.42478 9.15527 6.82843
76  6 9.42478 9.15527 6.82843
77  6 9.42478 9.15527 6.82843
78  7 10.9956 10.496 8.24264
79  6 9.42478 9.15527 6.82843
80  7 9.42478 9.71063 7.41421
81  6 9.42478 9.15527 6.82843
82  7 9.42478 9.71063 7.41421
83  7 9.42478 9.71063 7.41421
84  8 10.9956 10.496 8.24264
85  6 9.42478 9.15527 6.82843
86  7 9.42478 9.15527 6.82843
87  5 9.42478 9.15527 6.82843
88  7 9.42478 9.15527 6.82843
89  6 9.42478 9.15527 6.82843
90  7 10.9956 10.496 8.24264
91  6 7.85398 8.36987 6
92  5 7.85398 7.81451 5.41421
93  5 7.85398 7.81451 5.41421
94  7 9.42478 9.71063 7.41421
95  6 9.42478 9.15527 6.82843
96  6 9.42478 9.15527 6.82843
97  6 9.42478 9.15527 6.82843
98  6 9.42478 9.15527 6.82843
99  6 10.9956 9.94067 7.65685
100 5 7.85398 7.81451 5.41421
